13310,erinconada,Rinconada,"{""scope"": ""global"", ""max_op"": 8.0, ""max_tol"": 8.4, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2227778.0,2020-01-24 12:08:09.622387,2020-01-24 12:08:09.622336,1.0
13312,elas-rojas,Las Rojas,"{""scope"": ""global"", ""max_op"": 3.0, ""max_tol"": 3.15, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2228311.0,2020-01-28 09:40:37.432672,2020-01-28 09:40:50.439775,1.0
13313,elo-miranda,Lo Miranda,"{""scope"": ""global"", ""max_op"": 6.0, ""max_tol"": 6.3, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2225802.0,2020-01-28 10:07:15.36806,2020-01-28 10:07:30.748331,1.0
13314,ekonda,Konda,"{""scope"": ""global"", ""max_op"": 3.0, ""max_tol"": 3.15, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2228479.0,2020-01-28 10:08:55.988543,2020-01-28 10:08:55.988519,1.0
13316,prog-sen-loreto-fv,LORETO_FV,{},1,,91,1813904.0,2020-01-28 12:45:53.946629,2020-01-28 12:56:35.40978,1.0
13317,prog-sen-estero-fv,ESTERO_FV,{},1,,91,1813904.0,2020-01-28 14:17:07.75081,2020-01-28 14:17:07.764279,1.0
13318,prog-sen-las-mercedes-i-fv,LAS_MERCEDES_I_FV,{},1,,91,2229590.0,2020-01-30 15:43:39.644285,2020-01-30 15:43:39.716325,1.0
13319,prog-sen-rinconada-fv,RINCONADA_FV,{},1,,91,2229590.0,2020-01-30 15:49:33.49989,2020-01-30 15:49:33.516105,1.0
13336,prog-sen-guadalao-fv,GUADALAO_FV,{},1,,91,2231234.0,2020-03-10 11:19:13.379581,2020-03-10 11:20:20.676585,1.0
13337,prog-sen-la-estancia-fv,LA_ESTANCIA_FV,{},1,,91,2231234.0,2020-03-10 11:36:09.842346,2020-03-10 11:36:09.86629,1.0
13338,prog-sen-las-chacras-fv,LAS_CHACRAS_FV,{},1,,91,2231234.0,2020-03-10 11:46:00.740961,2020-03-10 11:46:00.994904,1.0
13339,prog-sen-paraguay-fv,PARAGUAY_FV,{},1,,91,2231234.0,2020-03-10 12:35:19.894922,2020-03-10 12:35:19.958705,1.0
13341,prog-sen-chacabuco-fv,CHACABUCO_FV,{},1,,91,2231521.0,2020-03-17 11:59:47.963098,2020-03-17 11:59:48.029878,1.0
9370,esantiago-solar,Santiago Solar,"{""scope"": ""global"", ""max_op"": 92.73, ""max_tol"": 97.37, ""ernc_factor"": 1.0, ""publica_consumo"": false}",273,,1,1251517.0,2018-01-25 15:48:26.022411,2020-03-17 12:31:34.225749,1.0
13342,emocho,Mocho,"{""scope"": ""global"", ""max_op"": 15.0, ""max_tol"": 15.75, ""ernc_factor"": 1.0, ""publica_consumo"": false}",144,,1,2232054.0,2020-03-24 17:07:10.804439,2020-03-24 17:07:10.804407,1.0
13351,prog-sen-ata-tg2a-gn-a,ATA-TG2A_GN_A,{},1,,91,2231849.0,2020-03-26 15:04:41.229401,2022-04-20 13:01:19.208867,1.0
13343,prog-sen-granja-fv,GRANJA_FV,{},1,,91,2231808.0,2020-03-26 09:19:48.401818,2020-03-26 09:19:48.461238,1.0
13344,etrica-dos,Trica-dos,"{""scope"": ""global"", ""max_op"": 2.8, ""max_tol"": 2.94, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2229795.0,2020-03-26 10:02:41.962905,2020-03-26 10:02:41.962824,1.0
13345,epullalli,Pullalli,"{""scope"": ""global"", ""max_op"": 3.0, ""max_tol"": 3.15, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2231152.0,2020-03-26 10:14:26.037735,2020-03-26 10:14:26.037673,1.0
13349,prog-sen-ata-tg1b-gn-a,ATA-TG1B_GN_A,{},1,,91,2231849.0,2020-03-26 14:39:35.157452,2022-04-20 12:36:22.587063,1.0
13354,prog-sen-ata-tg2b-gn-a,ATA-TG2B_GN_A,{},1,,91,2231849.0,2020-03-26 15:35:04.256977,2022-04-20 13:01:35.521756,1.0
13350,prog-sen-ata-tg1b-0-5tv1c-gn-a,ATA-TG1B+0.5TV1C_GN_A,{},1,,91,2231849.0,2020-03-26 14:47:30.111704,2022-04-20 12:36:16.590031,1.0
6828,pducpeu,Duqueco-Los Peumos 220 kV,"{""abs_max_op"": 1000.0, ""abs_max_tol"": 1500.0}",10,,45,265233.0,2017-04-13 10:47:04.060131,2022-05-12 18:11:34.393226,1.0
13348,prog-sen-ata-tg1a-tg1b-tv1c-gn-a,ATA-TG1A+TG1B+TV1C_GN_A,{},1,,91,2231849.0,2020-03-26 14:27:51.227162,2022-04-20 12:36:10.017926,1.0
